SMILES,COc1cccc(F)c1C(=O)N1CCOC(C#N)C1,Druglikeness
Cc1ccc(CC2(O)CC(C)(C)OC2(C)C)cc1C,Cc1ccc(CC2(O)CC(C)(C)OC2(C)C)cc1C,-2.286
CC(Oc1cccc(Cl)c1)C(=O)Nc1cccc(S(=O)(=O)N(C)C)c1,CC(Oc1cccc(Cl)c1)C(=O)Nc1cccc(S(=O)(=O)N(C)C)c1,-1.2941
C=CCn1c(SCC(=O)N(CC)C2CCS(=O)(=O)C2)nc2ccccc2c1=O,C=CCn1c(SCC(=O)N(CC)C2CCS(=O)(=O)C2)nc2ccccc2c1=O,-0.057068
COc1cc(C2CC(=O)Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)cc(OC)c1OC,COc1cc(C2CC(=O)Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)cc(OC)c1OC,3.7628
CC(=S)Nc1ccc(C#N)cc1,CC(=S)Nc1ccc(C#N)cc1,-4.5612
CC1CC(C)C[NH+](CCCNC(=O)N2CCC[NH+](CC(=O)N(C)C)CC2)C1,CC1CC(C)C[NH+](CCCNC(=O)N2CCC[NH+](CC(=O)N(C)C)CC2)C1,6.0089
Cc1nn(C)c(C)c1CCCNC(=O)NC1CCCC(C(F)(F)F)C1,Cc1nn(C)c(C)c1CCCNC(=O)NC1CCCC(C(F)(F)F)C1,-5.7809
COc1ccccc1CNc1nc(-c2ccncc2)nc2c1CCC2,COc1ccccc1CNc1nc(-c2ccncc2)nc2c1CCC2,-3.2395
FC(F)(F)c1cc(Br)ccc1N1CCOCC1,FC(F)(F)c1cc(Br)ccc1N1CCOCC1,-7.8258
CC(=NNC(=O)CNc1c(C)cccc1C)c1ccc(Cl)cc1,CC(=NNC(=O)CNc1c(C)cccc1C)c1ccc(Cl)cc1,3.9916
Cc1ccc(CC(=O)Nc2ccnc(N(C)C)n2)s1,Cc1ccc(CC(=O)Nc2ccnc(N(C)C)n2)s1,4.1855
Cn1c(CN2CCN(C(=O)C3CCCCC3)CC2)nc2cc(NC(=O)c3cccs3)ccc21,Cn1c(CN2CCN(C(=O)C3CCCCC3)CC2)nc2cc(NC(=O)c3cccs3)ccc21,5.7628
CC(C)n1c(N2CCN(S(=O)(=O)C(C)C)CC2)nc2sc3c(c2c1=O)CCCC3,CC(C)n1c(N2CCN(S(=O)(=O)C(C)C)CC2)nc2sc3c(c2c1=O)CCCC3,1.8316
COc1ccc(CNC(=O)NC2CCCc3ccc(F)cc32)cc1O,COc1ccc(CNC(=O)NC2CCCc3ccc(F)cc32)cc1O,-1.9887
O=C(Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1)C1CCCN(C(=O)NC2CC2)C1,O=C(Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1)C1CCCN(C(=O)NC2CC2)C1,7.1791
CCN(CC(F)(F)F)C(=O)C1CCCN(c2nc(C)cc(C)c2C#N)C1,CCN(CC(F)(F)F)C(=O)C1CCCN(c2nc(C)cc(C)c2C#N)C1,-5.909
CC(C)c1ccc(C(Cl)C(C)c2ccccn2)cc1,CC(C)c1ccc(C(Cl)C(C)c2ccccn2)cc1,-0.73896
COCCNC(=O)c1cccc2c1NC(c1ccc3ccccc3c1)C1CC=CC21,COCCNC(=O)c1cccc2c1NC(c1ccc3ccccc3c1)C1CC=CC21,-0.41091
CCC(C)Sc1nc2ccccc2n1C,CCC(C)Sc1nc2ccccc2n1C,2.6182
CS(=O)(=O)N(CC1C=c2ccccc2=[NH+]C1=O)c1ccccc1,CS(=O)(=O)N(CC1C=c2ccccc2=[NH+]C1=O)c1ccccc1,4.633
Cc1cccn2c(NC(=O)CCOC(C)C)c(-c3ccccc3)nc12,Cc1cccn2c(NC(=O)CCOC(C)C)c(-c3ccccc3)nc12,2.4154
C#Cc1cc(F)c(NC(=O)NCC(C)Nc2ccccc2)c(F)c1,C#Cc1cc(F)c(NC(=O)NCC(C)Nc2ccccc2)c(F)c1,1.6965
NC(=O)C1CCCC1NC(=O)NCCOc1ccc(C(F)(F)F)cc1,NC(=O)C1CCCC1NC(=O)NCCOc1ccc(C(F)(F)F)cc1,-6.6157
COCc1ccccc1C(=O)NCc1cccc(NC(=O)C2CCCC2)c1,COCc1ccccc1C(=O)NCc1cccc(NC(=O)C2CCCC2)c1,0.080052
CC(C)C(=O)N1CCN(S(=O)(=O)c2cccc(Br)c2)CC1,CC(C)C(=O)N1CCN(S(=O)(=O)c2cccc(Br)c2)CC1,-0.69764
Cc1cc(C)c2c(c1)C([NH2+]C1CCOC3(CCSC3)C1)CCO2,Cc1cc(C)c2c(c1)C([NH2+]C1CCOC3(CCSC3)C1)CCO2,-0.95918
CC(Cc1cccs1)C(=O)NCCc1csc(-c2ccccc2)n1,CC(Cc1cccs1)C(=O)NCCc1csc(-c2ccccc2)n1,6.8041
COc1ccc(C[NH2+]CCCC(N)=O)c2ccccc12,COc1ccc(C[NH2+]CCCC(N)=O)c2ccccc12,-1.787
O=S(=O)(C=Cc1ccccc1)NC1CCCc2ccccc21,O=S(=O)(C=Cc1ccccc1)NC1CCCc2ccccc21,-2.0285
O=C1N=C(N2CCCCC2)SC1=Cc1ccc2c(c1)OCCO2,O=C1N=C(N2CCCCC2)SC1=Cc1ccc2c(c1)OCCO2,-4.5314
CN(Cc1ccncc1)C(=O)CNC(=O)NCc1ccc(F)cc1,CN(Cc1ccncc1)C(=O)CNC(=O)NCc1ccc(F)cc1,3.6383
CCCNC(C)c1cc[nH+]c(N(C)CC2CC[NH+](C)C2)c1,CCCNC(C)c1cc[nH+]c(N(C)CC2CC[NH+](C)C2)c1,5.9173
COc1coc(C(=O)N2CCCC(Cc3nc4ccccc4[nH]3)C2)cc1=O,COc1coc(C(=O)N2CCCC(Cc3nc4ccccc4[nH]3)C2)cc1=O,4.5954
COCCC([NH2+]CC1(O)CCOC1)c1ccc(F)cc1,COCCC([NH2+]CC1(O)CCOC1)c1ccc(F)cc1,-3.3415
CCN(C)C(=O)c1cc(OC)c(OCc2ccccc2)c(OC)c1,CCN(C)C(=O)c1cc(OC)c(OCc2ccccc2)c(OC)c1,3.1013
Cc1nc2scc(C)n2c1C=NNC(=O)c1ccccc1O,Cc1nc2scc(C)n2c1C=NNC(=O)c1ccccc1O,5.7185
COc1cc(C)ccc1NC(=O)Cc1ccc(C)cc1,COc1cc(C)ccc1NC(=O)Cc1ccc(C)cc1,0.96413
NC(=O)CSc1ncc2c(n1)-c1ccccc1N(Cc1ccccc1)S2(=O)=O,NC(=O)CSc1ncc2c(n1)-c1ccccc1N(Cc1ccccc1)S2(=O)=O,3.5133
CCc1[nH]nc(NC(=O)Nc2nc(C)c(C)s2)c1C,CCc1[nH]nc(NC(=O)Nc2nc(C)c(C)s2)c1C,2.1631
Cc1nn(C)c(C)c1CC(C)NC(=O)c1ccc(Cl)c(N2CCCCC2)c1,Cc1nn(C)c(C)c1CC(C)NC(=O)c1ccc(Cl)c(N2CCCCC2)c1,6.5515
COC(CNC(=O)N(CCO)C1CC1)c1cccc(Cl)c1,COC(CNC(=O)N(CCO)C1CC1)c1cccc(Cl)c1,5.041
O=C(NCC1(O)CCSCC1)NC1CCCC(C2CC2)C1,O=C(NCC1(O)CCSCC1)NC1CCCC(C2CC2)C1,1.6506
Cc1cc(C(=O)NC2CC2c2cccc(Cl)c2)ccc1S(N)(=O)=O,Cc1cc(C(=O)NC2CC2c2cccc(Cl)c2)ccc1S(N)(=O)=O,1.7934
Cc1cccc(NC(=O)CSc2nccn2-c2cccc(Cl)c2)c1,Cc1cccc(NC(=O)CSc2nccn2-c2cccc(Cl)c2)c1,2.3865
O=C1NCC[NH+](Cc2ccccc2)C1CC(=O)N1CC=C(c2ccccc2)CC1,O=C1NCC[NH+](Cc2ccccc2)C1CC(=O)N1CC=C(c2ccccc2)CC1,5.4802
COc1ccc(-c2cnnc(N3CCCC(CN4CCOCC4)C3)n2)cc1,COc1ccc(-c2cnnc(N3CCCC(CN4CCOCC4)C3)n2)cc1,1.5867
CC(C#N)CNC(=O)C(=O)Nc1cc(C(C)(C)C)on1,CC(C#N)CNC(=O)C(=O)Nc1cc(C(C)(C)C)on1,-5.6138
Cc1nc(C(C)(C)NC(=O)Nc2ccc(F)cc2F)no1,Cc1nc(C(C)(C)NC(=O)Nc2ccc(F)cc2F)no1,2.0833
CCC(C)(NC(=O)CCOc1ccc(Cl)c(Cl)c1)C(=O)[O-],CCC(C)(NC(=O)CCOc1ccc(Cl)c(Cl)c1)C(=O)[O-],4.2077
O=C(C[NH+]1CCC(OCc2ccccc2F)CC1)Nc1ccc(F)cc1,O=C(C[NH+]1CCC(OCc2ccccc2F)CC1)Nc1ccc(F)cc1,-0.34405
COc1ccc(NC(=O)NCc2ccc(S(C)=O)cc2)c(OC)c1,COc1ccc(NC(=O)NCc2ccc(S(C)=O)cc2)c(OC)c1,1.4196
O=C1c2ccccc2NC(c2cnn(Cc3ccccc3)c2)N1c1ccc(F)cc1,O=C1c2ccccc2NC(c2cnn(Cc3ccccc3)c2)N1c1ccc(F)cc1,4.0481
CC(C)(C)OC(=O)N1CCCC1C(=O)Oc1ccc2c(=O)c(-c3ccc4c(c3)OCCO4)coc2c1,CC(C)(C)OC(=O)N1CCCC1C(=O)Oc1ccc2c(=O)c(-c3ccc4c(c3)OCCO4)coc2c1,-39.462
CC1CCN(C(=O)CN2C(=O)NC(C)(c3ccc(Cl)cc3Cl)C2=O)CC1,CC1CCN(C(=O)CN2C(=O)NC(C)(c3ccc(Cl)cc3Cl)C2=O)CC1,6.4105
CC[NH+](CC)CCn1c(=NC(=O)C2CCOC2C)[nH]c2ccccc21,CC[NH+](CC)CCn1c(=NC(=O)C2CCOC2C)[nH]c2ccccc21,3.2665
CCOc1cc2c(cc1NC(C)C(=O)Nc1cccc(F)c1)OC(C)C2,CCOc1cc2c(cc1NC(C)C(=O)Nc1cccc(F)c1)OC(C)C2,1.5072
Cc1cc(-n2nc(C)c(C(=O)[O-])c2Cl)nc(C)n1,Cc1cc(-n2nc(C)c(C(=O)[O-])c2Cl)nc(C)n1,3.7265
Cc1occc1C[NH+](C)CCCCCS,Cc1occc1C[NH+](C)CCCCCS,-16.424
[NH3+]C(CCC1CCCC1)c1ccc(Br)o1,[NH3+]C(CCC1CCCC1)c1ccc(Br)o1,-6.054
Cn1nnc2cc(C(=O)N3CCCCCC3)ccc21,Cn1nnc2cc(C(=O)N3CCCCCC3)ccc21,-4.2385
O=C(CSc1ncc[nH]1)N1CCCC2CCCCC21,O=C(CSc1ncc[nH]1)N1CCCC2CCCCC21,-0.47975
Cc1ccc([N-]S(C)(=O)=O)c(C(=O)NCCc2nc3ccccc3[nH]2)c1,Cc1ccc([N-]S(C)(=O)=O)c(C(=O)NCCc2nc3ccccc3[nH]2)c1,3.0471
COCC(NC(=O)Nc1ccc(C)nc1Cl)c1ccc(F)c(F)c1,COCC(NC(=O)Nc1ccc(C)nc1Cl)c1ccc(F)c(F)c1,-0.64373
O=C([O-])C(c1ccccc1)N1C(=O)C(=Cc2ccc(-c3nc4ccccc4s3)o2)SC1=S,O=C([O-])C(c1ccccc1)N1C(=O)C(=Cc2ccc(-c3nc4ccccc4s3)o2)SC1=S,4.9929
CC([NH2+]CCC(=O)Nc1sccc1C#N)C(C)n1cccn1,CC([NH2+]CCC(=O)Nc1sccc1C#N)C(C)n1cccn1,0.97057
O=C(NCc1ccccc1OC1CCCC1)NNC(=O)Nc1ccccc1,O=C(NCc1ccccc1OC1CCCC1)NNC(=O)Nc1ccccc1,0.23889
CC(=O)C1C(c2ccccc2F)c2c(n[nH]c2C)CC1(C)O,CC(=O)C1C(c2ccccc2F)c2c(n[nH]c2C)CC1(C)O,2.7469
O=C(NN=Cc1ccc(OC(F)F)cc1)c1ccncc1,O=C(NN=Cc1ccc(OC(F)F)cc1)c1ccncc1,1.5305
Cc1c(C(=O)NNC(=O)NCC2CCCO2)oc2ccc(Cl)cc12,Cc1c(C(=O)NNC(=O)NCC2CCCO2)oc2ccc(Cl)cc12,2.1782
CC(=O)N(c1nc(CN2CCN(S(=O)(=O)N3CCCCCC3)CC2)cs1)c1ccccc1F,CC(=O)N(c1nc(CN2CCN(S(=O)(=O)N3CCCCCC3)CC2)cs1)c1ccccc1F,1.1818
CC(OC(=O)C1CCCN(C2=NS(=O)(=O)c3ccccc32)C1)C(=O)c1c[nH]c2ccccc12,CC(OC(=O)C1CCCN(C2=NS(=O)(=O)c3ccccc32)C1)C(=O)c1c[nH]c2ccccc12,3.5819
Nc1nc2ccc([S-])cc2s1,Nc1nc2ccc([S-])cc2s1,-0.47083
COc1cccc2c1OCC(C(=O)NCCCOC1CCCCC1)C2,COc1cccc2c1OCC(C(=O)NCCCOC1CCCCC1)C2,-2.1183
Cn1cc(C(=O)NC2CC[NH+](CC(C)(C)C)CC2)cn1,Cn1cc(C(=O)NC2CC[NH+](CC(C)(C)C)CC2)cn1,2.8204
