Structure [idcode]	Structure No	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from Structure No	LLE from Structure No	LELP from Structure No	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	
fmoib@AJcdo@sAHYEEDhcDdeieDddrUgUZM\DCEURuMSEP@@	1	371.371	371.371	371.139368	-0.2884	-3.392	8	3	265.49	0.33357	102.9	4.3036	0.45729	9.2884	-0.63067	none	none	none	none		0.51852	0.41858	0.88694	1	27	9	0	9	0	3	4	4	1	6	6	0	0	0	0	0	0	0	0		
fbmqB@DJLdD`drnkKJkQeoQs@ATtuSE@@@	2	273.310	273.310	273.127740	2.534	-3.698	4	1	209.03	0.22475	54.35	-2.0193	0.5967	6.165	4.2467	none	none	none	low		0.6	0.44182	0.79764	1	20	5	0	5	0	3	3	3	1	6	6	0	0	0	0	0	1	0	0		
fewqB@GQJLD`dsJvzrljzs`iIkv\AAUTuMULU@@@	3	355.455	355.455	355.205990	3.6935	-4.924	4	2	271.57	0.18883	67.48	-2.3085	0.44971	4.8294	8.2131	none	none	none	low		0.57692	0.42337	0.86015	1	26	5	0	5	2	6	4	4	1	6	12	0	0	1	1	0	0	1	0	unknown chirality	
ebQZLH@ADlfnnKG`ICHhheDXeDleLeDddehTqIDdLl]|ccA@qTuTuSUSUQU@@@	4	495.597	495.597	495.264568	3.0807	-4.347	8	2	373.41	0.21598	94.11	3.8135	0.32003	5.3172	9.6264	none	none	none	none		0.52778	0.46395	0.90142	1	36	9	0	9	0	6	5	5	1	6	16	2	1	1	1	0	0	1	0		
fcp`@DDjCNQQJIIKZIJZFQIZgIZBe^vifj`BFjjjH@@	5	379.502	379.502	379.225977	2.9739	-4.936	5	2	297.34	0.2035	70.56	1.1201	0.40671	5.3271	7.312	none	none	none	low		0.5	0.48469	0.86458	1	28	5	0	5	0	5	4	4	1	6	13	2	0	1	1	0	0	1	0		
fcH`@DDjLF\bbTRRVtRTtJbRuNRtEHymSMU@DMUUTP@@	6	380.490	380.490	380.221226	2.4103	-3.589	6	1	296.07	0.18965	65.01	3.559	0.40284	5.8115	5.9833	none	none	none	low		0.57143	0.43615	0.8444	1	28	6	0	6	0	6	4	4	1	6	13	0	0	0	0	0	0	2	0		
egh\DH@IBfmC`ICHhhdbeMDeBheDddqpEEuMm]@PUL@EMMTpT@@@	7	405.472	405.472	405.185255	4.0161	-5.138	5	2	313	0.19332	70.56	-1.0746	0.37292	4.1388	10.769	none	none	none	low		0.56667	0.46011	0.8512	1	30	6	0	6	0	6	4	4	2	12	7	0	1	0	0	0	0	0	0		
fbmQB@EFRBHrJIJEJIQIITY[t\p@UMMTqP@@	8	288.777	288.777	288.102940	3.6887	-4.39	3	1	219.34	0.16417	41.46	-0.64512	0.5554	4.4082	6.6415	none	none	none	low		0.55	0.44182	0.79871	1	20	4	0	4	0	3	3	3	1	6	6	0	0	0	0	0	0	0	0		
eghRDH@BGDfkC`ICHhheEdeMhhdeBddqHUUuMm]AAQTuSUMTqT@@@	9	412.507	412.507	412.227454	3.173	-4.125	6	1	316.18	0.17759	65.01	2.7132	0.36793	4.8728	8.624	none	none	none	low		0.5	0.48825	0.86758	1	30	7	0	7	0	6	4	4	1	6	13	2	1	1	0	1	0	0	0		
fakH`@DDbtF\bbTRRVtRTLrUNRtFKTsUP@SUT@@@	10	326.399	326.399	326.174276	1.034	-3.052	6	2	257.91	0.27715	83.45	0.65613	0.45729	6.966	2.2611	none	none	none	low		0.58333	0.46703	0.82405	1	24	6	0	6	0	6	3	3	1	6	9	0	0	1	1	0	1	1	0		
fhyQA@HFt@HCHYIEDeDie]prcN}UUALATPAP@	11	254.328	254.328	254.088911	0.5813	-3.716	3	0	166.51	0.12095	23.55	2.5345	0.64225	7.3773	0.9051	none	none	none	none		0.58824	0.39109	0.71194	1	17	5	0	5	1	1	3	4	1	6	6	2	1	0	0	0	0	0	0	racemate	
fcHb@AAbWbpRFQQQJHqIIZIJYIIdgAkv^xHFJjijZibh@@	12	384.454	384.454	384.196154	2.5128	-2.91	6	1	288.66	0.19452	65.01	4.3964	0.38809	5.408	6.4749	none	none	none	low		0.53571	0.44315	0.86791	1	28	7	0	7	0	3	4	4	1	6	11	2	1	1	1	0	0	1	0		
fakQ@@DNAdTrbfRbJbRbVYqIV}Zfjjjejih@@	13	326.482	326.482	326.235813	3.6623	-3.718	3	1	267.48	0.11911	46.33	-2.0871	0.45078	4.2238	8.1244	none	none	none	none		0.54167	0.51923	0.75619	1	24	3	0	3	0	7	3	3	0	0	13	5	1	0	0	0	0	1	0		
edVVLH@A@hbjanNg`ICHhheDXddmDeEDehedqHxDuMm|CCA@qUUMTmUSTUP@@	14	468.531	468.531	468.228517	2.2853	-3.254	9	2	343.69	0.24499	97.35	8.0591	0.3169	5.5686	7.2114	none	none	none	none		0.52941	0.4834	0.8878	1	34	10	0	10	0	3	5	5	1	6	12	4	3	0	0	0	0	0	0		
ek`ZLH@A@hbjnNm`ICHhheDXddmDeDdlfIG@faechHFJjijejXj@@@	15	399.425	399.425	399.170668	1.128	-2.92	8	2	293.64	0.27466	94.11	6.8019	0.37012	6.6959	3.0477	none	none	none	none		0.55172	0.46016	0.87051	1	29	9	0	9	0	3	4	4	1	6	8	2	2	0	0	0	0	0	0		
fewp`@DDbBZSKJk|k]k]NRtEK^mSMU@DUUMEBi@@	16	351.449	351.449	351.194677	3.0222	-4.188	5	1	270.75	0.19428	61.77	2.09	0.41135	4.7737	7.3471	none	none	none	low		0.53846	0.40267	0.83644	1	26	5	0	5	1	3	4	4	1	6	10	0	0	1	0	1	0	0	0	racemate	
ek`\L@@DBB`LmlbbTRRVtRTtJbRrhxdtBRfVZfZj@HZ@Bj@@@	17	389.454	389.454	389.173942	3.7058	-4.914	6	2	301.39	0.23395	79.79	-0.23113	0.36755	4.0638	10.082	none	none	none	low		0.58621	0.42383	0.83928	1	29	6	0	6	0	5	4	4	2	12	7	2	1	0	0	0	0	0	0		
eghVHH@BKGLfnc`IAIfV]UVV}mUXdBRFfvn``hjjjZijXj@@@	18	414.527	414.527	414.254337	0.9296	-2.947	7	3	321.35	0.20548	72	6.2708	0.35416	6.8151	2.6248	none	none	none	none		0.5	0.44554	0.85875	1	30	8	0	8	0	4	4	3	1	6	15	0	0	3	2	1	0	2	0		
eodZL@@DBBic`LmlbbTRRVtRTtLRVTthxdtBRFfZfZj@HZjijh`@@	19	423.515	423.515	423.227040	2.4642	-2.695	8	1	322.62	0.22547	85.32	3.2748	0.3417	5.257	7.2116	none	none	none	low		0.54839	0.51048	0.85304	1	31	8	0	8	0	3	4	4	1	6	11	3	3	0	0	0	0	0	0		
fewq@@DDRAIeeU}e[nvgIZcd\vifjh@bjjb@@	20	351.492	351.492	351.231062	4.1928	-4.994	4	1	280.52	0.14102	44.7	0.94	0.40623	3.5062	10.321	none	none	none	low		0.53846	0.46999	0.82315	1	26	4	0	4	0	5	4	4	1	6	12	2	0	1	0	1	0	0	0		
fluI@@DDyhFQQJZIJXrIRLkTTmPPLUUE@@@	21	258.324	258.324	258.148061	1.0387	-3.263	5	3	198.13	0.3267	83.8	-7.1123	0.55437	6.6391	1.8737	none	high	none	none	hydrazine	0.52632	0.36471	0.81719	1	19	5	0	5	0	2	3	3	2	9	7	2	0	0	0	0	2	1	0		
fluqB@BRuDFIdTTRQbTRRSNF\ELAAMMTqP@@	22	320.189	320.189	319.032023	2.4066	-3.447	4	1	207.55	0.22636	54.35	-2.4693	0.55291	5.251	4.3526	none	none	none	low		0.52632	0.37278	0.82043	1	19	5	0	5	0	2	3	3	1	6	5	0	0	0	0	0	1	0	0		
fmohb@AVcdoI`dLbbbTQbRRtrbRRYJsjmFnBAbjjZfibh@@	23	371.415	371.415	371.175753	1.5747	-2.998	7	2	272.6	0.24802	77.04	6.4238	0.3881	6.0636	4.0574	none	none	none	none		0.51852	0.43382	0.87805	1	27	8	0	8	0	3	4	4	1	6	9	0	1	0	0	0	0	1	0		
